============================================================
data:
  name: weather
  root_path: data/weather
  data_path: weather.csv
  data_kind: custom
  features: M
  target: OT
  freq: t
  n_vars: 21
model:
  name: segrnn
  type: rnn
  d_model: 512
  seg_len: 48
  dropout: 0.5
train:
  name: default
  seq_len: 96
  label_len: 48
  pred_len: 96
  batch_size: 32
  num_workers: 4
  train_epochs: 30
  patience: 8
  learning_rate: 0.001
  loss: mse
  lradj: type3
  weight_decay: 0.0
  gradient_clip: 1.0
  use_amp: true
  gpu_resident_data: false
  matmul_precision: highest
  log_interval: 50
  val_interval: 1
  checkpoint_dir: checkpoints
  use_wandb: false
  wandb_project: vglg-tsf
seed: 2021
device: cuda
project: vglg-tsf
run_name: null
tag: supp_method_b

============================================================
Loaded data | train=36696 val=5175 test=10444
Built model: segrnn | params=1,631,536
  epoch 19 batch 300/1146 loss=0.383270
  epoch 19 batch 350/1146 loss=0.371318
  epoch 19 batch 400/1146 loss=0.372126
  epoch 19 batch 450/1146 loss=0.380413
  epoch 19 batch 500/1146 loss=0.378766
  epoch 19 batch 550/1146 loss=0.372145
  epoch 19 batch 600/1146 loss=0.368611
  epoch 19 batch 650/1146 loss=0.425212
  epoch 19 batch 700/1146 loss=0.421460
  epoch 19 batch 750/1146 loss=0.416775
  epoch 19 batch 800/1146 loss=0.412843
  epoch 19 batch 850/1146 loss=0.407722
  epoch 19 batch 900/1146 loss=0.405690
  epoch 19 batch 950/1146 loss=0.406531
  epoch 19 batch 1000/1146 loss=0.403545
  epoch 19 batch 1050/1146 loss=0.403595
  epoch 19 batch 1100/1146 loss=0.399058
Epoch 19 | train_loss=0.395874 val_mse=0.417671 val_mae=0.285566 (12.7s)
  EarlyStopping: 2/8
  epoch 20 batch 50/1146 loss=0.351974
  epoch 20 batch 100/1146 loss=0.360899
  epoch 20 batch 150/1146 loss=0.356017
  epoch 20 batch 200/1146 loss=0.340539
  epoch 20 batch 250/1146 loss=0.351296
  epoch 20 batch 300/1146 loss=0.351463
  epoch 20 batch 350/1146 loss=0.351271
  epoch 20 batch 400/1146 loss=0.348744
  epoch 20 batch 450/1146 loss=0.355077
  epoch 20 batch 500/1146 loss=0.355949
  epoch 20 batch 550/1146 loss=0.423918
  epoch 20 batch 600/1146 loss=0.417157
  epoch 20 batch 650/1146 loss=0.409404
  epoch 20 batch 700/1146 loss=0.407107
  epoch 20 batch 750/1146 loss=0.401717
  epoch 20 batch 800/1146 loss=0.397545
  epoch 20 batch 850/1146 loss=0.397244
  epoch 20 batch 900/1146 loss=0.399210
  epoch 20 batch 950/1146 loss=0.397115
  epoch 20 batch 1000/1146 loss=0.397270
  epoch 20 batch 1050/1146 loss=0.394962
  epoch 20 batch 1100/1146 loss=0.394205
Epoch 20 | train_loss=0.392990 val_mse=0.414576 val_mae=0.285479 (12.9s)
  EarlyStopping: 3/8
  epoch 21 batch 50/1146 loss=0.361051
  epoch 21 batch 100/1146 loss=0.358741
  epoch 21 batch 150/1146 loss=0.385196
  epoch 21 batch 200/1146 loss=0.390258
  epoch 21 batch 250/1146 loss=0.375057
  epoch 21 batch 300/1146 loss=0.371083
  epoch 21 batch 350/1146 loss=0.363046
  epoch 21 batch 400/1146 loss=0.360039
  epoch 21 batch 450/1146 loss=0.355692
  epoch 21 batch 500/1146 loss=0.352693
  epoch 21 batch 550/1146 loss=0.349407
  epoch 21 batch 600/1146 loss=0.347102
  epoch 21 batch 650/1146 loss=0.349160
  epoch 21 batch 700/1146 loss=0.349886
  epoch 21 batch 750/1146 loss=0.347937
  epoch 21 batch 800/1146 loss=0.396707
  epoch 21 batch 850/1146 loss=0.398576
  epoch 21 batch 900/1146 loss=0.401569
  epoch 21 batch 950/1146 loss=0.399692
  epoch 21 batch 1000/1146 loss=0.397643
  epoch 21 batch 1050/1146 loss=0.397397
  epoch 21 batch 1100/1146 loss=0.393222
